severity,category,check,file,line,element,measure_n,staff_n,layer_n,xml_id,message,expected,actual,context
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_03_sonata_g_minor_corr.mei,17983,layer,172,4.0,,s57bjj8,Layer is underfull against the active meter.,16.0,12,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_03_sonata_g_minor_corr.mei,18069,layer,173,4.0,,cj7qd0v,Layer is underfull against the active meter.,16.0,12,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_03_sonata_g_minor_corr.mei,18078,layer,173,4.0,,l1ytltmh,Layer is underfull against the active meter.,16.0,12,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op2_03_sonata_g_minor_corr.mei,18111,layer,174,2.0,,wgks3kx,Layer is overfull against the active meter.,16.0,18,
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_03_sonata_g_minor_corr.mei,18142,layer,174,4.0,,sb0coux,Layer is underfull against the active meter.,16.0,12,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_03_sonata_g_minor_corr.mei,18150,layer,174,4.0,,a11xp4lr,Layer is underfull against the active meter.,16.0,12,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op2_03_sonata_g_minor_corr.mei,18185,layer,175,2.0,,y1yo035,Layer is overfull against the active meter.,16.0,19,
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_03_sonata_g_minor_corr.mei,18222,layer,175,4.0,,v1wr9t4v,Layer is underfull against the active meter.,16.0,12,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_03_sonata_g_minor_corr.mei,18327,layer,176,4.0,,r17iaxal,Layer is underfull against the active meter.,16.0,12,
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_03_sonata_g_minor_corr.mei,18343,layer,177,1.0,,a2cbzs9,Layer is underfull against the active meter.,16.0,14,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op2_03_sonata_g_minor_corr.mei,18366,layer,177,2.0,,ipvixrp,Layer is overfull against the active meter.,16.0,20,
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_03_sonata_g_minor_corr.mei,18381,layer,177,3.0,,hg0yvvz,Layer is underfull against the active meter.,16.0,12,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_03_sonata_g_minor_corr.mei,18397,layer,177,4.0,,u1jl481k,Layer is underfull against the active meter.,16.0,12,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op2_03_sonata_g_minor_corr.mei,18416,layer,178,1.0,,f196s3mm,Layer is overfull against the active meter.,16.0,18,
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_03_sonata_g_minor_corr.mei,18439,layer,178,2.0,,ado0gjl,Layer is underfull against the active meter.,16.0,12,No <space> found in this layer; a missing space/rest is a likely cause.
